Date_x,season,HomeTeam_x,AwayTeam_x,FTR,AvgH,AvgD,AvgA,Date_y,HomeTeam_y,AwayTeam_y,home_points_last5,home_gf_last5,home_ga_last5,home_rest_days,away_points_last5,away_gf_last5,away_ga_last5,away_rest_days
2015-08-14,2015/2016,Tondela,Sp Lisbon,A,,,,2015-08-14,Tondela,Sp Lisbon,,,,7.0,,,,7.0
2015-08-15,2015/2016,Belenenses,Rio Ave,D,,,,2015-08-15,Belenenses,Rio Ave,,,,7.0,,,,7.0
2015-08-15,2015/2016,Porto,Guimaraes,H,,,,2015-08-15,Porto,Guimaraes,,,,7.0,,,,7.0
2015-08-16,2015/2016,Benfica,Estoril,H,,,,2015-08-16,Benfica,Estoril,,,,7.0,,,,7.0
2015-08-16,2015/2016,Moreirense,Arouca,A,,,,2015-08-16,Moreirense,Arouca,,,,7.0,,,,7.0
2015-08-16,2015/2016,Setubal,Boavista,D,,,,2015-08-16,Setubal,Boavista,,,,7.0,,,,7.0
2015-08-16,2015/2016,Sp Braga,Nacional,H,,,,2015-08-16,Sp Braga,Nacional,,,,7.0,,,,7.0
2015-08-16,2015/2016,Uniao Madeira,Maritimo,H,,,,2015-08-16,Uniao Madeira,Maritimo,,,,7.0,,,,7.0
2015-08-17,2015/2016,Pacos Ferreira,Academica,H,,,,2015-08-17,Pacos Ferreira,Academica,,,,7.0,,,,7.0
2015-08-21,2015/2016,Rio Ave,Sp Braga,H,,,,2015-08-21,Rio Ave,Sp Braga,1.0,3.0,3.0,6.0,3.0,2.0,1.0,5.0
2015-08-22,2015/2016,Maritimo,Porto,D,,,,2015-08-22,Maritimo,Porto,0.0,1.0,2.0,6.0,3.0,3.0,0.0,7.0
2015-08-22,2015/2016,Sp Lisbon,Pacos Ferreira,D,,,,2015-08-22,Sp Lisbon,Pacos Ferreira,3.0,2.0,1.0,8.0,3.0,1.0,0.0,5.0
2015-08-23,2015/2016,Arouca,Benfica,H,,,,2015-08-23,Arouca,Benfica,3.0,2.0,0.0,7.0,3.0,4.0,0.0,7.0
2015-08-23,2015/2016,Boavista,Tondela,H,,,,2015-08-23,Boavista,Tondela,1.0,2.0,2.0,7.0,0.0,1.0,2.0,9.0
2015-08-23,2015/2016,Estoril,Moreirense,H,,,,2015-08-23,Estoril,Moreirense,0.0,0.0,4.0,7.0,0.0,0.0,2.0,7.0
2015-08-23,2015/2016,Guimaraes,Belenenses,D,,,,2015-08-23,Guimaraes,Belenenses,0.0,0.0,3.0,8.0,1.0,3.0,3.0,8.0
2015-08-23,2015/2016,Nacional,Uniao Madeira,H,,,,2015-08-23,Nacional,Uniao Madeira,0.0,1.0,2.0,7.0,3.0,2.0,1.0,7.0
2015-08-24,2015/2016,Academica,Setubal,A,,,,2015-08-24,Academica,Setubal,0.0,0.0,1.0,7.0,1.0,2.0,2.0,8.0
2015-08-29,2015/2016,Benfica,Moreirense,H,,,,2015-08-29,Benfica,Moreirense,3.0,4.0,1.0,6.0,0.0,0.0,4.0,6.0
2015-08-29,2015/2016,Porto,Estoril,H,,,,2015-08-29,Porto,Estoril,4.0,4.0,1.0,7.0,3.0,2.0,4.0,6.0
2015-08-29,2015/2016,Setubal,Rio Ave,D,,,,2015-08-29,Setubal,Rio Ave,4.0,6.0,2.0,5.0,4.0,4.0,3.0,8.0
2015-08-30,2015/2016,Academica,Sp Lisbon,A,,,,2015-08-30,Academica,Sp Lisbon,0.0,0.0,5.0,6.0,4.0,3.0,2.0,8.0
2015-08-30,2015/2016,Pacos Ferreira,Arouca,D,,,,2015-08-30,Pacos Ferreira,Arouca,4.0,2.0,1.0,8.0,6.0,3.0,0.0,7.0
